Line 2 x,Line 2 y
6.431090301509E9,2.165821289790E-3
6.512321896992E9,2.064037430282E-3
6.594579534996E9,1.967036954383E-3
6.677876175542E9,1.874595064577E-3
6.762224942352E9,1.786497527819E-3
6.847568613230E9,1.679927005354E-3
6.934003656924E9,1.583943898245E-3
6.992141109222E9,1.497443932852E-3
7.021327302775E9,1.438565682314E-3
7.110014227149E9,1.370959565415E-3
7.199821362875E9,1.306530631941E-3
7.290762859430E9,1.245129568561E-3
7.362152090219E9,1.170853446376E-3
7.475967859695E9,1.103956401805E-3
7.570319429770E9,1.038101728800E-3
7.665877565461E9,9.787894913588E-4
7.762705853702E9,9.327907875204E-4
7.860757187487E9,8.889538158762E-4
7.937727652698E9,8.359247625860E-4
8.060358577685E9,7.776955536067E-4
8.162102347657E9,7.332616970270E-4
8.242023505354E9,6.895201967231E-4
8.369355534172E9,6.414893003704E-4
8.474999690828E9,6.048376267973E-4
8.582048062772E9,5.764129786875E-4
8.654003376693E9,5.449347787567E-4
8.690126420209E9,5.235083962880E-4
8.799892074393E9,4.989058562216E-4
8.886058301210E9,4.691444616881E-4
9.023433018653E9,4.423397594764E-4
9.137408694079E9,4.215517802717E-4
9.252728726600E9,3.964048137799E-4
9.369523468930E9,3.737561120337E-4
9.487870639412E9,3.561912557934E-4
9.607712662092E9,3.394518687958E-4
9.729068418565E9,3.234991576991E-4
9.810640808640E9,3.058327075322E-4
9.851591821648E9,2.938076197264E-4
9.851226627917E9,2.799999830440E-4
9.945747538043E9,2.623832988020E-4
1.010166153316E10,2.543009049133E-4
1.026528053631E10,2.482535003519E-4
1.042444974894E10,2.482535003519E-4
1.065998946491E10,2.365867023934E-4
1.075715355326E10,2.309605505568E-4
1.089302798590E10,2.201064434610E-4
1.089262418664E10,2.097624305808E-4
1.089222040234E10,1.999045397821E-4
